Date,Open,High,Low,Close,Adj Close,Volume
2017-07-17,50.000000,50.000000,50.000000,50.000000,50.000000,1000
2017-07-24,50.000000,62.000000,50.000000,55.000000,55.000000,330612000
2017-07-31,55.000000,62.000000,50.000000,50.000000,50.000000,142100000
2017-08-07,50.000000,51.000000,50.000000,50.000000,50.000000,1238400
2017-08-14,50.000000,56.000000,50.000000,51.000000,51.000000,41113100
2017-08-21,51.000000,54.000000,50.000000,50.000000,50.000000,29749700
2017-08-28,50.000000,51.000000,50.000000,50.000000,50.000000,897300
2017-09-04,50.000000,50.000000,50.000000,50.000000,50.000000,473700
2017-09-11,50.000000,50.000000,50.000000,50.000000,50.000000,195500
2017-09-18,50.000000,50.000000,50.000000,50.000000,50.000000,64800
2017-09-25,50.000000,50.000000,50.000000,50.000000,50.000000,92600
2017-10-02,50.000000,50.000000,50.000000,50.000000,50.000000,98700
2017-10-09,50.000000,50.000000,50.000000,50.000000,50.000000,66800
2017-10-16,50.000000,50.000000,50.000000,50.000000,50.000000,111700
2017-10-23,50.000000,50.000000,50.000000,50.000000,50.000000,35400
2017-10-30,50.000000,50.000000,50.000000,50.000000,50.000000,65700
2017-11-06,50.000000,50.000000,50.000000,50.000000,50.000000,251300
2017-11-13,50.000000,50.000000,50.000000,50.000000,50.000000,2100
2017-11-20,50.000000,50.000000,50.000000,50.000000,50.000000,15700
2017-11-27,50.000000,50.000000,50.000000,50.000000,50.000000,51100
2017-12-04,50.000000,50.000000,50.000000,50.000000,50.000000,709000
2017-12-11,50.000000,50.000000,50.000000,50.000000,50.000000,3220500
2017-12-18,50.000000,62.000000,50.000000,60.000000,60.000000,68042800
2017-12-25,60.000000,72.000000,52.000000,69.000000,69.000000,104400800
2018-01-01,69.000000,69.000000,51.000000,52.000000,52.000000,29329600
2018-01-08,52.000000,54.000000,51.000000,51.000000,51.000000,8713300
2018-01-15,51.000000,52.000000,50.000000,51.000000,51.000000,7261400
2018-01-22,60.000000,60.000000,50.000000,51.000000,51.000000,7336500
2018-01-29,51.000000,54.000000,50.000000,51.000000,51.000000,10123100
2018-02-05,50.000000,55.000000,50.000000,50.000000,50.000000,28129500
2018-02-12,50.000000,52.000000,50.000000,52.000000,52.000000,3370400
2018-02-19,51.000000,55.000000,50.000000,53.000000,53.000000,7210300
2018-02-26,53.000000,54.000000,51.000000,51.000000,51.000000,3123900
2018-03-05,52.000000,55.000000,50.000000,52.000000,52.000000,15335000
2018-03-12,51.000000,53.000000,50.000000,50.000000,50.000000,26383700
2018-03-19,50.000000,53.000000,50.000000,50.000000,50.000000,19986000
2018-03-26,50.000000,64.000000,50.000000,52.000000,52.000000,101465600
2018-04-02,53.000000,70.000000,51.000000,58.000000,58.000000,238300400
2018-04-09,58.000000,64.000000,54.000000,56.000000,56.000000,74441600
2018-04-16,56.000000,56.000000,53.000000,53.000000,53.000000,4447300
2018-04-23,54.000000,54.000000,52.000000,54.000000,54.000000,2734500
2018-04-30,53.000000,54.000000,50.000000,52.000000,52.000000,9666900
2018-05-07,53.000000,53.000000,50.000000,52.000000,52.000000,5795300
2018-05-14,52.000000,55.000000,50.000000,52.000000,52.000000,4025000
2018-05-21,53.000000,53.000000,51.000000,51.000000,51.000000,2487600
2018-05-28,51.000000,53.000000,51.000000,52.000000,52.000000,2455300
2018-06-04,51.000000,52.000000,50.000000,51.000000,51.000000,3834400
2018-06-11,51.000000,51.000000,51.000000,51.000000,51.000000,0
2018-06-18,51.000000,52.000000,50.000000,51.000000,51.000000,1056800
2018-06-25,51.000000,55.000000,50.000000,51.000000,51.000000,16421500
