Date,Open,High,Low,Close,Adj Close,Volume
2017-07-17,1195.000000,1200.000000,1060.000000,1075.000000,1053.760864,178050600
2017-07-24,1075.000000,1090.000000,990.000000,995.000000,975.341492,116547600
2017-07-31,1005.000000,1020.000000,975.000000,995.000000,975.341492,161922300
2017-08-07,1000.000000,1150.000000,1000.000000,1055.000000,1034.156006,256510400
2017-08-14,1065.000000,1140.000000,1060.000000,1120.000000,1097.871826,122056100
2017-08-21,1130.000000,1145.000000,1060.000000,1100.000000,1078.266968,118008000
2017-08-28,1100.000000,1110.000000,1020.000000,1045.000000,1024.353638,47346500
2017-09-04,1040.000000,1040.000000,970.000000,975.000000,955.736694,123041900
2017-09-11,980.000000,1020.000000,975.000000,1010.000000,990.045166,98872600
2017-09-18,1020.000000,1090.000000,1015.000000,1070.000000,1048.859741,81224800
2017-09-25,1070.000000,1085.000000,1045.000000,1065.000000,1043.958496,55062600
2017-10-02,1085.000000,1190.000000,1070.000000,1135.000000,1112.575562,124065300
2017-10-09,1135.000000,1140.000000,1005.000000,1010.000000,990.045166,90843500
2017-10-16,1015.000000,1060.000000,995.000000,1060.000000,1039.057373,75005700
2017-10-23,1060.000000,1080.000000,1005.000000,1005.000000,985.143921,66537900
2017-10-30,1020.000000,1045.000000,1005.000000,1015.000000,994.946350,55685400
2017-11-06,1015.000000,1035.000000,985.000000,985.000000,965.539063,74345400
2017-11-13,990.000000,1010.000000,900.000000,905.000000,887.119629,245056400
2017-11-20,905.000000,935.000000,865.000000,930.000000,911.625732,140120000
2017-11-27,925.000000,930.000000,855.000000,860.000000,843.008667,950540200
2017-12-04,885.000000,890.000000,845.000000,865.000000,847.909973,276843900
2017-12-11,860.000000,885.000000,825.000000,880.000000,862.613647,145808600
2017-12-18,880.000000,935.000000,835.000000,935.000000,916.526978,151585500
2017-12-25,935.000000,955.000000,920.000000,945.000000,926.329346,54801500
2018-01-01,945.000000,970.000000,915.000000,970.000000,950.835449,56990400
2018-01-08,970.000000,1035.000000,970.000000,1020.000000,999.847595,126256900
2018-01-15,1005.000000,1055.000000,990.000000,1025.000000,1004.748779,74271600
2018-01-22,1015.000000,1080.000000,1010.000000,1065.000000,1043.958496,156672600
2018-01-29,1070.000000,1230.000000,1070.000000,1205.000000,1181.192505,273674800
2018-02-05,1190.000000,1210.000000,1100.000000,1135.000000,1112.575562,163360500
2018-02-12,1155.000000,1155.000000,1100.000000,1130.000000,1107.674194,50511100
2018-02-19,1140.000000,1170.000000,1080.000000,1110.000000,1088.069336,73915900
2018-02-26,1120.000000,1125.000000,1040.000000,1040.000000,1019.452454,60884700
2018-03-05,1040.000000,1065.000000,965.000000,1015.000000,994.946350,58930500
2018-03-12,1020.000000,1030.000000,905.000000,905.000000,887.119629,72875700
2018-03-19,930.000000,950.000000,880.000000,915.000000,896.922058,74042800
2018-03-26,915.000000,935.000000,890.000000,905.000000,887.119629,42086300
2018-04-02,925.000000,925.000000,880.000000,900.000000,882.218445,49802800
2018-04-09,900.000000,1000.000000,895.000000,995.000000,975.341492,95449800
2018-04-16,995.000000,1045.000000,995.000000,1025.000000,1004.748779,10541200
2018-04-23,1050.000000,1050.000000,965.000000,975.000000,955.736694,29842000
2018-04-30,900.000000,915.000000,865.000000,890.000000,872.416016,33918000
2018-05-07,900.000000,900.000000,850.000000,880.000000,862.613647,29973900
2018-05-14,875.000000,875.000000,830.000000,830.000000,813.601440,32829100
2018-05-21,830.000000,970.000000,800.000000,930.000000,911.625732,73556300
2018-05-28,950.000000,1005.000000,905.000000,985.000000,965.539063,76315700
2018-06-04,985.000000,1010.000000,945.000000,995.000000,975.341492,62380200
2018-06-11,995.000000,995.000000,995.000000,995.000000,975.341492,0
2018-06-18,995.000000,995.000000,900.000000,945.000000,926.329346,46779000
2018-06-25,955.000000,1010.000000,890.000000,905.000000,887.119629,92570800
2018-07-02,920.000000,920.000000,810.000000,830.000000,817.602661,43877400
2018-07-09,825.000000,870.000000,805.000000,805.000000,792.976074,48649000
2018-07-16,810.000000,825.000000,790.000000,790.000000,778.200134,43174200
2018-07-23,795.000000,820.000000,780.000000,800.000000,788.050720,87488000
2018-07-30,800.000000,800.000000,760.000000,765.000000,753.573486,74283500
2018-08-06,775.000000,780.000000,730.000000,735.000000,724.021606,54102000
2018-08-13,735.000000,740.000000,635.000000,635.000000,625.515259,61412400
2018-08-20,655.000000,700.000000,635.000000,675.000000,664.917847,55915800
2018-08-27,680.000000,700.000000,660.000000,660.000000,650.141846,41800100
2018-09-03,680.000000,680.000000,590.000000,615.000000,605.813965,30329200
2018-09-10,625.000000,690.000000,610.000000,690.000000,679.693726,41499200
2018-09-17,680.000000,685.000000,610.000000,620.000000,610.739319,62365200
2018-09-24,630.000000,660.000000,590.000000,655.000000,645.216553,155765600
2018-10-01,655.000000,665.000000,550.000000,555.000000,546.710144,110178500
2018-10-08,560.000000,630.000000,550.000000,595.000000,586.112671,108577400
2018-10-15,595.000000,650.000000,560.000000,610.000000,600.888672,99733900
2018-10-22,625.000000,630.000000,585.000000,605.000000,595.963379,45331100
2018-10-29,605.000000,625.000000,570.000000,620.000000,610.739319,41642300
2018-11-05,625.000000,695.000000,605.000000,635.000000,625.515259,128581200
2018-11-12,635.000000,670.000000,590.000000,655.000000,645.216553,78306800
2018-11-19,660.000000,750.000000,640.000000,735.000000,724.021606,108480500
2018-11-26,750.000000,830.000000,705.000000,820.000000,807.751953,184122400
2018-12-03,830.000000,900.000000,820.000000,860.000000,847.154480,101512900
2018-12-10,855.000000,910.000000,800.000000,855.000000,842.229187,128907300
2018-12-17,845.000000,860.000000,795.000000,820.000000,807.751953,127019400
2018-12-24,820.000000,820.000000,765.000000,805.000000,792.976074,58462900
2018-12-31,805.000000,870.000000,785.000000,855.000000,842.229187,60154300
2019-01-07,870.000000,1035.000000,850.000000,1020.000000,1004.764648,212725000
2019-01-14,1000.000000,1055.000000,970.000000,970.000000,955.511475,148716600
2019-01-21,980.000000,1070.000000,950.000000,1020.000000,1004.764648,155463700
2019-01-28,1020.000000,1070.000000,970.000000,980.000000,965.362122,100701300
2019-02-04,985.000000,1000.000000,935.000000,975.000000,960.436768,66003300
2019-02-11,980.000000,990.000000,865.000000,865.000000,852.079834,68938500
2019-02-18,865.000000,990.000000,865.000000,980.000000,965.362122,97586600
2019-02-25,960.000000,990.000000,910.000000,930.000000,916.108948,54750900
2019-03-04,935.000000,940.000000,875.000000,880.000000,866.855774,30605500
2019-03-11,880.000000,930.000000,845.000000,915.000000,901.333008,47406300
2019-03-18,915.000000,1010.000000,905.000000,980.000000,965.362122,137723100
2019-03-25,970.000000,980.000000,915.000000,955.000000,940.735535,42763100
2019-04-01,945.000000,1130.000000,945.000000,1110.000000,1093.420288,167033100
2019-04-08,1110.000000,1205.000000,1095.000000,1185.000000,1167.300049,68481200
2019-04-15,1200.000000,1245.000000,1115.000000,1210.000000,1191.926758,87518500
2019-04-22,1210.000000,1240.000000,1080.000000,1150.000000,1132.822876,103751700
2019-04-29,1150.000000,1180.000000,1005.000000,1025.000000,1009.690002,60414500
2019-05-06,1015.000000,1110.000000,985.000000,1105.000000,1088.494995,61435000
2019-05-13,1105.000000,1120.000000,955.000000,955.000000,940.735535,74144100
2019-05-20,935.000000,1070.000000,935.000000,1055.000000,1039.241943,30851000
2019-05-27,1055.000000,1150.000000,1025.000000,1035.000000,1019.540649,140534300
2019-06-03,1035.000000,1035.000000,1035.000000,1035.000000,1019.540649,0
2019-06-10,1070.000000,1280.000000,1070.000000,1200.000000,1182.076172,121446600
2019-06-17,1200.000000,1315.000000,1105.000000,1265.000000,1246.105103,117682700
2019-06-24,1265.000000,1265.000000,1150.000000,1220.000000,1201.777344,91066900
2019-07-01,1225.000000,1250.000000,1140.000000,1200.000000,1182.076172,97613100
2019-07-08,1205.000000,1350.000000,1155.000000,1275.000000,1260.963379,106207200
2019-07-15,1275.000000,1360.000000,1165.000000,1185.000000,1171.954102,120434300
2019-07-22,1200.000000,1300.000000,1185.000000,1220.000000,1206.568848,98421100
2019-07-29,1225.000000,1335.000000,1195.000000,1230.000000,1216.458740,110202200
2019-08-05,1230.000000,1275.000000,1115.000000,1260.000000,1246.128418,119352300
2019-08-12,1260.000000,1290.000000,1195.000000,1195.000000,1181.844116,64665800
2019-08-19,1210.000000,1235.000000,1170.000000,1200.000000,1186.789063,47058800
2019-08-26,1185.000000,1185.000000,1040.000000,1060.000000,1048.330322,90100900
2019-09-02,1060.000000,1190.000000,1045.000000,1165.000000,1152.174316,76544800
2019-09-09,1170.000000,1285.000000,1140.000000,1235.000000,1221.403687,71205800
2019-09-16,1235.000000,1260.000000,1160.000000,1190.000000,1176.899048,84596400
2019-09-23,1190.000000,1220.000000,1120.000000,1160.000000,1147.229370,72972900
2019-09-30,1160.000000,1160.000000,1080.000000,1145.000000,1132.394531,39698200
2019-10-07,1145.000000,1160.000000,1100.000000,1145.000000,1132.394531,27396400
2019-10-14,1150.000000,1225.000000,1150.000000,1185.000000,1171.954102,67484900
2019-10-21,1190.000000,1250.000000,1170.000000,1190.000000,1176.899048,27158000
2019-10-28,1190.000000,1230.000000,1090.000000,1095.000000,1082.944946,43432400
2019-11-04,1100.000000,1170.000000,1075.000000,1155.000000,1142.284424,40951400
2019-11-11,1165.000000,1190.000000,1085.000000,1105.000000,1092.834839,21617100
2019-11-18,1110.000000,1125.000000,1040.000000,1040.000000,1028.550537,24343000
2019-11-25,1040.000000,1045.000000,955.000000,1020.000000,1008.770630,50223300
2019-12-02,1015.000000,1040.000000,960.000000,995.000000,984.045898,55462200
2019-12-09,1000.000000,1090.000000,1000.000000,1030.000000,1018.660583,99927900
2019-12-16,1025.000000,1045.000000,980.000000,995.000000,984.045898,110891500
2019-12-23,1000.000000,1010.000000,970.000000,990.000000,979.100952,34394300
2019-12-30,990.000000,1040.000000,975.000000,1020.000000,1008.770630,58802700
2020-01-06,1015.000000,1025.000000,940.000000,980.000000,969.210999,102145900
2020-01-13,980.000000,1045.000000,980.000000,1020.000000,1008.770630,81833900
2020-01-20,1020.000000,1030.000000,920.000000,935.000000,924.706421,59971500
2020-01-27,930.000000,945.000000,810.000000,845.000000,835.697266,99720500
2020-02-03,840.000000,915.000000,815.000000,895.000000,885.146790,57645100
2020-02-10,890.000000,895.000000,815.000000,850.000000,840.642212,30303500
2020-02-17,890.000000,950.000000,850.000000,895.000000,885.146790,103731500
2020-02-24,895.000000,905.000000,790.000000,840.000000,830.752319,50611300
2020-03-02,840.000000,875.000000,790.000000,805.000000,796.137634,61638900
2020-03-09,780.000000,790.000000,585.000000,585.000000,578.559631,88333400
2020-03-16,650.000000,650.000000,460.000000,460.000000,454.935791,48559600
2020-03-23,430.000000,468.000000,372.000000,430.000000,425.266052,318122600
2020-03-30,430.000000,430.000000,350.000000,424.000000,419.332123,231744000
2020-04-06,436.000000,550.000000,424.000000,500.000000,494.495422,293886200
2020-04-13,505.000000,575.000000,470.000000,496.000000,490.539459,161704100
2020-04-20,500.000000,505.000000,414.000000,414.000000,409.442200,190297800
2020-04-27,418.000000,462.000000,410.000000,444.000000,439.111938,136421400
2020-05-04,426.346680,426.346680,403.091400,418.594910,413.986542,63658644
2020-05-11,420.532867,453.477814,403.091400,416.656982,412.069946,139001246
2020-05-18,418.594910,432.160492,401.153473,405.029327,400.570282,67339256
2020-05-25,405.029327,457.353699,405.029327,449.601959,444.652222,244894339
2020-06-01,449.601959,624.985474,447.664001,586.226685,579.772827,391007367
2020-06-08,600.761230,707.347900,542.623047,605.606079,598.938843,396199687
2020-06-15,615.295776,668.589111,566.847290,644.364868,637.270935,338223261
2020-06-22,639.520020,644.364868,586.226685,600.761230,594.147339,171065509
2020-06-29,600.761230,639.520020,562.002441,595.916382,589.355835,178066657
2020-07-06,595.916382,615.295776,566.847290,576.536987,570.189819,268665773
2020-07-13,581.381836,605.606079,566.847290,571.692139,565.398315,331923065
2020-07-20,581.381836,595.916382,547.467896,571.692139,565.398315,273845606
2020-07-27,581.381836,615.295776,576.536987,581.381836,574.981323,389924672
2020-08-03,586.226685,591.071533,513.553955,513.553955,507.900146,494261678
2020-08-10,513.553955,576.536987,499.019409,547.467896,541.440735,429240348
2020-08-17,547.467896,576.536987,542.623047,566.847290,560.606750,111557562
2020-08-24,566.847290,644.364868,562.002441,639.520020,632.479431,551976486
2020-08-31,649.209717,663.744263,591.071533,615.295776,608.521912,259609040
2020-09-07,615.295776,624.985474,518.398804,557.157593,551.023743,222545138
2020-09-14,552.312744,591.071533,528.088501,552.312744,546.232239,288638327
2020-09-21,557.157593,571.692139,494.174561,518.398804,512.691650,221227759
2020-09-28,528.088501,557.157593,513.553955,532.933350,527.066223,207791733
2020-10-05,542.623047,581.381836,532.933350,571.692139,565.398315,172905918
2020-10-12,586.226685,634.675171,576.536987,629.830322,622.896423,310510528
2020-10-19,644.364868,683.123657,595.916382,634.675171,627.687927,387194144
2020-10-26,639.520020,654.054565,624.985474,639.520020,632.479431,50414991
2020-11-02,639.520020,692.813354,600.761230,683.123657,675.603027,305933296
2020-11-09,702.503052,741.261841,687.968506,726.727295,718.726624,318901811
2020-11-16,741.261841,789.710327,741.261841,755.796387,747.475708,244399381
2020-11-23,760.641235,833.313965,750.951538,818.779419,809.765320,225215293
2020-11-30,818.779419,828.469116,760.641235,775.175781,766.641724,371271766
2020-12-07,784.865479,799.400024,750.951538,784.865479,776.224792,270812486
2020-12-14,784.865479,886.607300,750.951538,867.227905,857.680481,782880814
2020-12-21,867.227905,891.452148,775.175781,813.934570,804.973816,244540975
2020-12-28,818.779419,838.158813,775.175781,780.020630,771.433289,191754083
2021-01-04,784.865479,833.313965,755.796387,784.865479,776.224792,311063796
2021-01-11,784.865479,867.227905,780.020630,804.244873,795.390808,364421915
2021-01-18,804.244873,818.779419,741.261841,750.951538,742.684204,297001747
2021-01-25,746.106689,760.641235,649.209717,673.433960,666.020020,268665567
2021-02-01,668.589111,731.572144,649.209717,721.882446,713.935120,202137172
2021-02-08,731.572144,794.555176,726.727295,780.020630,771.433289,197056105
2021-02-15,789.710327,901.141846,775.175781,891.452148,881.638000,547541364
2021-02-22,872.072754,930.210938,775.175781,799.400024,790.599304,475557173
2021-03-01,809.089722,905.986694,799.400024,843.003662,833.722900,435090686
2021-03-08,852.693359,1036.797607,838.158813,1007.728516,996.634277,359019785
2021-03-15,1017.418213,1027.107910,949.590332,978.659424,967.885193,124730520
2021-03-22,978.659424,993.193970,886.607300,973.814575,963.093689,152062852
2021-03-29,983.504272,993.193970,867.227905,896.296997,886.429504,162608693
2021-04-05,896.296997,964.124878,862.383057,930.210938,919.970093,134522674
2021-04-12,930.210938,930.210938,886.607300,910.831543,900.804077,70441416
2021-04-19,915.676392,973.814575,905.986694,954.435181,943.927673,146517786
2021-04-26,964.124878,993.193970,935.055786,939.900635,929.553101,147379836
2021-05-03,939.900635,949.590332,896.296997,896.296997,886.429504,92749646
2021-05-10,896.296997,939.900635,896.296997,901.141846,891.221008,43618287
2021-05-17,901.141846,915.676392,862.383057,872.072754,862.471985,67604587
2021-05-24,872.072754,910.831543,862.383057,876.917603,867.263489,62761195
2021-05-31,886.607300,945.000000,881.762451,910.000000,899.981689,131466749
2021-06-07,915.000000,920.000000,840.000000,855.000000,845.587158,166023300
2021-06-14,855.000000,875.000000,800.000000,840.000000,830.752319,216993500
2021-06-21,810.000000,860.000000,790.000000,825.000000,815.917419,116218100
2021-06-28,825.000000,860.000000,765.000000,830.000000,820.862427,107389400
2021-07-05,840.000000,860.000000,810.000000,825.000000,815.917419,122892000
2021-07-12,845.000000,845.000000,760.000000,790.000000,781.302795,136719600
2021-07-19,790.000000,840.000000,750.000000,795.000000,786.247742,154715400
2021-07-26,800.000000,805.000000,735.000000,750.000000,741.743103,190547500
2021-08-02,750.000000,790.000000,740.000000,755.000000,746.688110,165877000
2021-08-09,755.000000,780.000000,735.000000,750.000000,741.743103,131682700
2021-08-16,750.000000,810.000000,730.000000,760.000000,751.633057,224957200
2021-08-23,765.000000,825.000000,760.000000,765.000000,756.578003,116584800
2021-08-30,780.000000,855.000000,775.000000,845.000000,835.697266,260131400
2021-09-06,855.000000,900.000000,830.000000,880.000000,870.311951,221346500
2021-09-13,885.000000,890.000000,840.000000,845.000000,835.697266,161609100
2021-09-20,845.000000,860.000000,800.000000,815.000000,806.027527,248060700
2021-09-27,820.000000,865.000000,800.000000,825.000000,815.917419,273258000
2021-10-04,830.000000,935.000000,830.000000,920.000000,909.871582,391983000
2021-10-11,935.000000,970.000000,905.000000,950.000000,939.541321,355700600
2021-10-18,955.000000,960.000000,910.000000,940.000000,929.651367,169106500
2021-10-25,940.000000,950.000000,900.000000,915.000000,904.926636,91587700
2021-11-01,915.000000,1005.000000,915.000000,930.000000,919.761475,296771900
2021-11-08,935.000000,1000.000000,925.000000,960.000000,949.431213,199490600
2021-11-15,960.000000,990.000000,945.000000,975.000000,964.266052,67561400
2021-11-22,985.000000,985.000000,855.000000,855.000000,845.587158,161014500
2021-11-29,850.000000,890.000000,810.000000,855.000000,845.587158,237096300
2021-12-06,860.000000,910.000000,830.000000,895.000000,885.146790,148266100
2021-12-13,905.000000,920.000000,850.000000,855.000000,845.587158,86638800
2021-12-20,855.000000,870.000000,835.000000,850.000000,840.642212,53299300
2021-12-27,855.000000,875.000000,795.000000,835.000000,825.807373,88961400
2022-01-03,840.000000,865.000000,755.000000,770.000000,761.522949,181900300
2022-01-10,775.000000,810.000000,730.000000,755.000000,746.688110,148059500
2022-01-17,755.000000,765.000000,705.000000,725.000000,717.018372,99150300
2022-01-24,725.000000,730.000000,650.000000,680.000000,672.513794,165242800
2022-01-31,680.000000,740.000000,670.000000,720.000000,712.073425,209038000
2022-02-07,720.000000,745.000000,700.000000,705.000000,697.238525,177920100
2022-02-14,705.000000,760.000000,675.000000,755.000000,746.688110,193384200
2022-02-21,760.000000,770.000000,660.000000,695.000000,687.348633,284463300
2022-02-28,690.000000,715.000000,680.000000,695.000000,687.348633,97616500
2022-03-07,695.000000,820.000000,655.000000,805.000000,796.137634,624831200
2022-03-14,805.000000,830.000000,760.000000,770.000000,761.522949,291971100
2022-03-21,785.000000,815.000000,745.000000,785.000000,776.357788,409656900
2022-03-28,785.000000,815.000000,735.000000,740.000000,731.853210,347707100
2022-04-04,740.000000,765.000000,715.000000,720.000000,712.073425,339104400
2022-04-11,720.000000,725.000000,675.000000,685.000000,677.458740,198966500
2022-04-18,685.000000,730.000000,685.000000,695.000000,687.348633,266624200
2022-04-25,690.000000,720.000000,675.000000,710.000000,702.183472,200950200
2022-05-02,710.000000,710.000000,710.000000,710.000000,702.183472,0
2022-05-09,705.000000,730.000000,635.000000,680.000000,672.513794,354787600
2022-05-16,710.000000,710.000000,665.000000,700.000000,692.293579,107490200
2022-05-23,700.000000,705.000000,670.000000,680.000000,672.513794,108407700
2022-05-30,695.000000,700.000000,680.000000,680.000000,672.513794,104515600
2022-06-06,670.000000,685.000000,630.000000,630.000000,623.064209,196610600
2022-06-13,635.000000,635.000000,575.000000,605.000000,598.339478,163719100
2022-06-20,605.000000,610.000000,575.000000,585.000000,578.559631,139631300
2022-06-27,585.000000,600.000000,550.000000,570.000000,563.724792,138361300
2022-07-04,570.000000,580.000000,540.000000,555.000000,548.889893,174227100
2022-07-11,565.000000,570.000000,535.000000,545.000000,539.000000,117504800
2022-07-18,null,null,null,null,null,null
